Feature,Importance,timestamp
cat__importer_Importer_94,0.0017492198,2025-05-12 22:09:03
cat__importer_Importer_884,0.0017455708,2025-05-12 22:09:03
cat__importer_Importer_199,0.0017449289,2025-05-12 22:09:03
cat__importer_Importer_207,0.001736198,2025-05-12 22:09:03
cat__importer_Importer_822,0.0017353131,2025-05-12 22:09:03
cat__importer_Importer_632,0.0017342581,2025-05-12 22:09:03
cat__importer_Importer_470,0.001731827,2025-05-12 22:09:03
cat__importer_Importer_49,0.001730945,2025-05-12 22:09:03
cat__importer_Importer_541,0.0017239508,2025-05-12 22:09:03
cat__importer_Importer_315,0.001722847,2025-05-12 22:09:03
cat__importer_Importer_84,0.0017212474,2025-05-12 22:09:03
cat__importer_Importer_737,0.001720676,2025-05-12 22:09:03
cat__importer_Importer_700,0.0017174318,2025-05-12 22:09:03
cat__importer_Importer_196,0.0017125637,2025-05-12 22:09:03
cat__importer_Importer_476,0.0017079916,2025-05-12 22:09:03
cat__importer_Importer_798,0.0017029766,2025-05-12 22:09:03
cat__importer_Importer_14,0.0016975547,2025-05-12 22:09:03
cat__importer_Importer_582,0.0016962484,2025-05-12 22:09:03
cat__importer_Importer_241,0.001694025,2025-05-12 22:09:03
cat__importer_Importer_811,0.0016785004,2025-05-12 22:09:03
cat__importer_Importer_615,0.0016571915,2025-05-12 22:09:03
cat__importer_Importer_739,0.0016515247,2025-05-12 22:09:03
cat__importer_Importer_67,0.0016490142,2025-05-12 22:09:03
cat__importer_Importer_829,0.0016489733,2025-05-12 22:09:03
cat__importer_Importer_263,0.0016477298,2025-05-12 22:09:03
cat__importer_Importer_791,0.001647498,2025-05-12 22:09:03
cat__importer_Importer_106,0.0016466303,2025-05-12 22:09:03
cat__importer_Importer_26,0.0016420715,2025-05-12 22:09:03
cat__importer_Importer_879,0.0016407421,2025-05-12 22:09:03
cat__importer_Importer_836,0.0016395586,2025-05-12 22:09:03
cat__importer_Importer_126,0.0016371504,2025-05-12 22:09:03
cat__importer_Importer_447,0.0016359735,2025-05-12 22:09:03
cat__importer_Importer_220,0.0016351427,2025-05-12 22:09:03
cat__importer_Importer_443,0.0016300465,2025-05-12 22:09:03
cat__importer_Importer_63,0.0016187992,2025-05-12 22:09:03
cat__importer_Importer_481,0.0016177333,2025-05-12 22:09:03
cat__importer_Importer_184,0.0016174542,2025-05-12 22:09:03
cat__importer_Importer_925,0.0016113407,2025-05-12 22:09:03
cat__importer_Importer_803,0.0016097326,2025-05-12 22:09:03
cat__importer_Importer_777,0.001601178,2025-05-12 22:09:03
cat__importer_Importer_745,0.0015986303,2025-05-12 22:09:03
